figure,panel,role,profile_type,bw_mm,energy_mev,ctc_mm,required_path,status,notes
Figure 2,,5 x bw,peak_normalization,1.5,125,7.5,data/processed_data/PBP_dataset/FWHM15/125MeV/zpeak_1Darray_ctc75_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1.5,125,7.5,data/processed_data/PBP_dataset/FWHM15/125MeV/zvalley_1Darray_ctc75_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1.5,175,4.5,data/processed_data/PBP_dataset/FWHM15/175MeV/zpeak_1Darray_ctc45_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1.5,175,4.5,data/processed_data/PBP_dataset/FWHM15/175MeV/zvalley_1Darray_ctc45_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1.5,175,7.5,data/processed_data/PBP_dataset/FWHM15/175MeV/zpeak_1Darray_ctc75_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1.5,175,7.5,data/processed_data/PBP_dataset/FWHM15/175MeV/zvalley_1Darray_ctc75_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1.5,230,4.5,data/processed_data/PBP_dataset/FWHM15/230MeV/zpeak_1Darray_ctc45_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1.5,230,4.5,data/processed_data/PBP_dataset/FWHM15/230MeV/zvalley_1Darray_ctc45_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1.5,230,7.5,data/processed_data/PBP_dataset/FWHM15/230MeV/zpeak_1Darray_ctc75_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1.5,230,7.5,data/processed_data/PBP_dataset/FWHM15/230MeV/zvalley_1Darray_ctc75_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
